date,time_utc,player1,player2,surface,series,confidence,our_odds1,our_odds2,pin_odds1,pin_odds2,value_p1,value_p2,side,value_pct,policy_mode,overlay_n,overlay_roi_pct_shrunk,overlay_reason,settlement_status,result,bet_outcome,won_bet,match_date,player1_id,player2_id,winner_id,loser_id,settled_at,settlement_note,closing_odds1,closing_odds2,closing_source,recent_injured_p1,recent_injured_p2,recent_injured_any,recent_injured_p1_mode,recent_injured_p2_mode,threshold_tier,bet_type,spread_line,spread_odds,stake_units,stake_gbp,stake_model,signal_profile,game_margin
2026-03-07,12:43:02,Marton Fucsovics,Arthur Fils,Hard,Masters 1000,high,2.74,1.58,3.11,1.412,13.5,-10.63,P1,13.5,base,,,,settled,P2,LOSS,0,2026-03-08,13674,83135,83135,13674,2026-03-13T14:10:23+00:00,,,,,False,False,False,none,none,,,,,,,,,
2026-03-07,12:43:02,Brandon Nakashima,Alexander Zverev,Hard,Masters 1000,high,3.25,1.44,3.74,1.313,15.08,-8.82,P1,15.08,base,,,,settled,P2,LOSS,0,2026-03-08,56846,24008,24008,56846,2026-03-13T14:10:23+00:00,,,,,False,False,False,none,none,,,,,,,,,
2026-03-07,12:43:02,Ben Shelton,Learner Tien,Hard,Masters 1000,high,1.58,2.71,1.758,2.17,11.27,-19.93,P1,11.27,base,,,,settled,P2,LOSS,0,2026-03-08,87562,93452,93452,87562,2026-03-13T14:10:23+00:00,,,,,False,False,False,none,none,,,,,,,,,
2026-03-07,23:58:27,Rinky Hijikata,Luciano Darderi,Hard,Masters 1000,high,2.58,1.63,3.13,1.408,21.32,-13.62,P1,21.32,base,,,,settled,P1,WIN,1,2026-03-08,58149,76127,58149,76127,2026-03-08T22:52:21+00:00, [from oncourt_today fallback],,,,False,False,False,none,none,public,,,,,,,,
2026-03-07,23:58:27,Ugo Humbert,Alex Michelsen,Hard,Masters 1000,high,1.76,2.32,2.03,1.862,15.34,-19.74,P1,15.34,base,,,,settled,P2,LOSS,0,2026-03-08,38911,92985,92985,38911,2026-03-08T22:52:21+00:00, [from oncourt_today fallback],,,,False,False,False,none,none,public,,,,,,,,
2026-03-07,23:58:27,Jacob Fearnley,Taylor Harry Fritz,Hard,Masters 1000,high,3.78,1.36,4.81,1.218,27.25,-10.44,P1,27.25,base,,,,settled,P2,LOSS,0,2026-03-08,68090,29932,29932,68090,2026-03-08T22:52:21+00:00, [from oncourt_today fallback],,,,False,False,False,none,none,public,,,,,,,,
2026-03-08,11:46:19,Brandon Nakashima,Alexander Zverev,Hard,Masters 1000,high,3.14,1.47,3.68,1.329,17.2,-9.59,P1,17.2,base,,,,settled,P2,LOSS,0,2026-03-08,56846,24008,24008,56846,2026-03-13T14:10:23+00:00,,,,,False,False,False,none,none,public,,,,,,,,
2026-03-08,11:46:19,Marton Fucsovics,Arthur Fils,Hard,Masters 1000,high,2.82,1.55,3.16,1.413,12.06,-8.84,P1,12.06,base,,,,settled,P2,LOSS,0,2026-03-08,13674,83135,83135,13674,2026-03-13T14:10:23+00:00,,,,,False,False,False,none,none,public,,,,,,,,
2026-03-08,11:46:19,Joao Fonseca,Tommy Paul,Hard,Masters 1000,high,2.56,1.64,2.85,1.474,11.33,-10.12,P1,11.33,base,,,,settled,P1,WIN,1,2026-03-08,91521,29935,91521,29935,2026-03-13T14:10:23+00:00,,,,,False,False,False,none,none,public,,,,,,,,
2026-03-09,10:58:07,Alex Michelsen,Taylor Harry Fritz,Hard,Masters 1000,high,2.75,1.57,3.17,1.41,15.27,-10.19,P1,15.27,base,,,,settled,P1,WIN,1,2026-03-13,92985,29932,92985,29932,2026-03-13T14:10:23+00:00, [from oncourt_today fallback],,,,False,False,False,none,none,public,,,,,,,,
2026-03-09,10:58:07,Daniil Medvedev,Sebastian Baez,Hard,Masters 1000,high,1.28,4.52,1.171,5.91,-8.52,30.75,P2,30.75,base,,,,settled,P1,LOSS,0,2026-03-13,22807,52721,22807,52721,2026-03-13T14:10:23+00:00, [from oncourt_today fallback],,,,False,False,False,none,none,public,,,,,,,,
2026-03-09,10:58:07,Valentin Vacherot,Casper Ruud,Hard,Masters 1000,high,1.77,2.31,2.41,1.641,36.16,-28.96,P1,36.16,base,,,,settled,P2,LOSS,0,2026-03-13,36594,33648,33648,36594,2026-03-13T14:10:23+00:00, [from oncourt_today fallback],,,,False,False,False,none,none,public,,,,,,,,
2026-03-09,11:07:22,Francisco Cerundolo,Jack Draper,Hard,Masters 1000,high,2.27,1.79,2.53,1.592,11.45,-11.06,P1,11.45,base,,,,settled,P2,LOSS,0,2026-03-13,52279,63017,63017,52279,2026-03-13T14:10:23+00:00, [from oncourt_today fallback],,,,True,False,True,soft_unique,none,public,,,,,,,,
