league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,Referee,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA
epl,2017-2018,18/11/2017,Leicester,Man City,0,2,2,12,0,4,1,7,8,10,1,1,0,0,A,0,1,A,G Scott,9.5,5.75,1.33,8,5.75,1.33,8,5.3,1.35
epl,2017-2018,18/11/2017,Liverpool,Southampton,3,0,21,5,8,0,10,2,15,9,1,1,0,0,H,2,0,H,M Jones,1.39,5,9,1.4,4.75,8.25,1.45,4.4,7.2
epl,2017-2018,18/11/2017,Man United,Newcastle,4,1,16,12,7,5,11,4,10,9,1,1,0,0,H,2,1,H,C Pawson,1.28,5.75,13,1.26,5.75,11.5,1.27,5.8,10.5
epl,2017-2018,18/11/2017,West Brom,Chelsea,0,4,7,11,2,7,3,4,13,12,2,3,0,0,A,0,3,A,J Moss,6.5,4,1.61,5.75,4,1.6,6.2,4,1.55
epl,2017-2018,19/11/2017,Watford,West Ham,2,0,17,10,7,6,3,1,13,10,1,4,0,0,H,1,0,H,A Marriner,2.1,3.5,3.75,2.1,3.25,3.7,2.2,3.35,3.3
epl,2017-2018,20/11/2017,Brighton,Stoke,2,2,9,13,3,6,6,7,13,5,1,0,0,0,D,1,2,A,L Mason,2.39,3.2,3.39,2.4,3.1,3.2,2.4,3.3,2.95
epl,2017-2018,24/11/2017,West Ham,Leicester,1,1,8,7,4,2,5,5,9,12,1,1,0,0,D,1,1,D,M Atkinson,2.7,3.39,2.75,2.75,3.3,2.6,2.5,3.3,2.85
epl,2017-2018,25/11/2017,Crystal Palace,Stoke,2,1,10,9,5,3,5,2,9,5,1,1,0,0,H,0,0,D,M Dean,2.04,3.5,4,2,3.4,3.9,2.1,3.4,3.5
epl,2017-2018,25/11/2017,Liverpool,Chelsea,1,1,16,11,4,3,7,8,10,7,0,0,0,0,D,0,0,D,M Oliver,2.14,3.6,3.5,2.15,3.5,3.3,2.2,3.3,3.4
epl,2017-2018,25/11/2017,Man United,Brighton,1,0,15,8,4,2,5,0,9,9,0,2,0,0,H,0,0,D,N Swarbrick,1.19,7,19,1.18,7.25,15.5,1.2,6.5,15
epl,2017-2018,25/11/2017,Newcastle,Watford,0,3,12,12,2,4,6,3,8,13,1,2,0,0,A,0,2,A,C Kavanagh,2.2,3.5,3.5,2.2,3.3,3.4,2.1,3.4,3.5
epl,2017-2018,25/11/2017,Swansea,Bournemouth,0,0,10,9,1,5,4,5,18,6,4,2,0,0,D,0,0,D,S Attwell,2.79,3.25,2.79,2.8,3.1,2.7,2.5,3.3,2.85
epl,2017-2018,25/11/2017,Tottenham,West Brom,1,1,24,5,5,2,8,0,10,13,1,4,0,0,D,0,1,A,M Jones,1.25,6,16,1.22,6.25,13.5,1.3,5.5,9.5
epl,2017-2018,26/11/2017,Burnley,Arsenal,0,1,8,17,2,2,5,5,8,14,2,0,0,0,A,0,0,D,L Mason,6.5,4.5,1.53,5.75,4.4,1.55,5.7,3.9,1.6
epl,2017-2018,26/11/2017,Huddersfield,Man City,1,2,4,14,0,5,3,7,10,10,2,3,1,0,A,1,0,H,C Pawson,17,8,1.18,15,7.25,1.18,15,6.5,1.2
epl,2017-2018,26/11/2017,Southampton,Everton,4,1,17,5,5,2,7,2,6,13,0,0,0,0,H,1,1,D,K Friend,1.9,3.39,4.75,1.83,3.5,4.6,2,3.4,3.8
