generated_utc,as_of_date,scope,eval_period,league_scope,window_days,source_file,policy_mode,bet_type,signals,settled,unsettled,wins,losses,invalid_odds,staked_units,pnl_units,roi_pct,win_rate_pct,avg_value_pct,avg_pin_odds
2026-04-12T23:12:14+00:00,2026-04-12,window,overall,combined,7,strict-signals-volume200-archive.csv,base,handicap,43,25,18,8,16,0,48.0000,-17.5340,-36.5292,33.3333,36.3914,1.9110
2026-04-12T23:12:14+00:00,2026-04-12,all_time,overall,combined,7,strict-signals-volume200-archive.csv,base,handicap,92,74,18,37,34,0,138.0000,-0.3230,-0.2341,52.1127,37.3905,1.9124
2026-04-12T23:12:14+00:00,2026-04-12,all_time,legacy,combined,7,strict-signals-volume200-archive.csv,base,,4,4,0,2,2,0,6.0000,-0.3670,-6.1167,50.0000,27.3300,1.8530
2026-04-12T23:12:14+00:00,2026-04-12,all_time,clean,combined,7,strict-signals-volume200-archive.csv,base,,149,119,30,55,61,0,184.0000,0.2890,0.1571,47.4138,42.7842,2.7568
2026-04-12T23:12:14+00:00,2026-04-12,window,clean,combined,7,strict-signals-volume200-archive.csv,base,,68,38,30,8,29,0,61.0000,-30.5340,-50.0557,21.6216,47.7400,3.0124
2026-04-12T23:12:14+00:00,2026-04-12,all_time,legacy,combined,7,strict-signals-volume200-archive.csv,base,ml,2,2,0,1,1,0,4.0000,-0.2140,-5.3500,50.0000,27.3300,1.8530
2026-04-12T23:12:14+00:00,2026-04-12,all_time,clean,combined,7,strict-signals-volume200-archive.csv,base,ml,59,47,12,19,28,0,48.0000,0.4590,0.9562,40.4255,42.7842,2.7568
2026-04-12T23:12:14+00:00,2026-04-12,window,clean,combined,7,strict-signals-volume200-archive.csv,base,ml,25,13,12,0,13,0,13.0000,-13.0000,-100.0000,0.0000,47.7400,3.0124
2026-04-12T23:12:14+00:00,2026-04-12,all_time,legacy,combined,7,strict-signals-volume200-archive.csv,base,handicap,2,2,0,1,1,0,2.0000,-0.1530,-7.6500,50.0000,22.1500,1.8820
2026-04-12T23:12:14+00:00,2026-04-12,all_time,clean,combined,7,strict-signals-volume200-archive.csv,base,handicap,90,72,18,36,33,0,136.0000,-0.1700,-0.1250,52.1739,37.7292,1.9133
2026-04-12T23:12:14+00:00,2026-04-12,window,clean,combined,7,strict-signals-volume200-archive.csv,base,handicap,43,25,18,8,16,0,48.0000,-17.5340,-36.5292,33.3333,36.3914,1.9110
2026-04-12T23:12:14+00:00,2026-04-12,window,overall,ATP,7,strict-signals-volume200-archive.csv,base,,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-12T23:12:14+00:00,2026-04-12,all_time,overall,ATP,7,strict-signals-volume200-archive.csv,base,,14,14,0,7,6,0,22.0000,-0.1040,-0.4727,53.8462,29.6400,2.4240
2026-04-12T23:12:14+00:00,2026-04-12,window,overall,ATP,7,strict-signals-volume200-archive.csv,base,ml,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-12T23:12:14+00:00,2026-04-12,all_time,overall,ATP,7,strict-signals-volume200-archive.csv,base,ml,4,4,0,3,1,0,4.0000,2.6960,67.4000,75.0000,29.6400,2.4240
2026-04-12T23:12:14+00:00,2026-04-12,window,overall,ATP,7,strict-signals-volume200-archive.csv,base,handicap,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-12T23:12:14+00:00,2026-04-12,all_time,overall,ATP,7,strict-signals-volume200-archive.csv,base,handicap,10,10,0,4,5,0,18.0000,-2.8000,-15.5556,44.4444,25.9900,1.8963
2026-04-12T23:12:14+00:00,2026-04-12,all_time,legacy,ATP,7,strict-signals-volume200-archive.csv,base,,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-12T23:12:14+00:00,2026-04-12,all_time,clean,ATP,7,strict-signals-volume200-archive.csv,base,,14,14,0,7,6,0,22.0000,-0.1040,-0.4727,53.8462,29.6400,2.4240
2026-04-12T23:12:14+00:00,2026-04-12,window,clean,ATP,7,strict-signals-volume200-archive.csv,base,,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-12T23:12:14+00:00,2026-04-12,all_time,legacy,ATP,7,strict-signals-volume200-archive.csv,base,ml,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-12T23:12:14+00:00,2026-04-12,all_time,clean,ATP,7,strict-signals-volume200-archive.csv,base,ml,4,4,0,3,1,0,4.0000,2.6960,67.4000,75.0000,29.6400,2.4240
