league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
ligue-1,2025-2026,25/10/2025,Monaco,Toulouse,1,0,14,10,5,2,2,5,15,18,3,4,0,0,H,1,0,H,1.83,3.9,4,1.82,3.9,4,1.62,2.3,1.83,2.03,2.2,3.6,3.1,2.1,3.6,3.3,1.67,2.2,1.9,1.95
ligue-1,2025-2026,25/10/2025,Lens,Marseille,2,1,8,17,5,3,4,8,12,9,3,2,0,0,H,1,1,D,2.7,3.6,2.45,2.8,3.6,2.37,1.73,2.1,2.03,1.83,2.5,3.6,2.7,2.55,3.5,2.6,1.73,2.1,1.85,2
ligue-1,2025-2026,26/10/2025,Lille,Metz,6,1,23,10,12,4,7,8,18,12,3,2,0,0,H,2,0,H,1.3,5.5,9.5,1.32,5.5,9.25,1.57,2.38,1.9,1.95,1.22,6.5,11,1.24,6.5,11.5,1.44,2.75,1.8,2.05
ligue-1,2025-2026,26/10/2025,Angers,Lorient,2,0,7,23,4,4,1,6,14,6,1,0,0,0,H,1,0,H,2.55,3.2,2.88,2.55,3.2,2.8,2.3,1.62,1.83,2.03,2.75,3,2.8,2.7,3,2.8,2.5,1.53,1.93,1.93
ligue-1,2025-2026,26/10/2025,Auxerre,Le Havre,0,1,14,9,3,4,13,5,21,12,2,2,0,0,A,0,0,D,2.1,3.4,3.5,2.15,3.4,3.3,2,1.8,1.83,2.03,2.1,3.25,3.6,2.1,3.3,3.6,2.2,1.67,1.83,2.03
ligue-1,2025-2026,26/10/2025,Rennes,Nice,1,2,19,8,7,3,7,3,13,22,5,2,0,0,A,0,2,A,2.2,3.5,3.2,2.2,3.6,3,1.73,2.1,1.9,1.95,2,3.7,3.6,2.1,3.6,3.3,1.67,2.2,2,1.85
ligue-1,2025-2026,26/10/2025,Lyon,Strasbourg,2,1,8,7,3,2,4,2,15,19,0,4,0,1,H,1,1,D,2.1,3.75,3.3,2.05,3.6,3.3,1.67,2.2,2.03,1.78,1.91,3.7,3.8,1.95,3.6,3.75,1.67,2.2,1.93,1.93
ligue-1,2025-2026,29/10/2025,Le Havre,Brest,1,0,13,8,3,2,5,1,12,11,1,3,0,0,H,0,0,D,2.55,3.2,2.9,2.5,3.3,2.8,1.98,1.88,1.8,2.05,2.9,3,2.63,2.75,3.1,2.65,2.3,1.62,2,1.85
ligue-1,2025-2026,29/10/2025,Lorient,Paris SG,1,1,5,15,2,8,0,8,5,13,0,2,0,0,D,0,0,D,9.5,6.5,1.25,10.5,6.25,1.26,1.44,2.75,1.93,1.93,10,6.5,1.25,9.5,6,1.28,1.44,2.75,1.78,2.03
ligue-1,2025-2026,29/10/2025,Metz,Lens,2,0,16,10,7,2,2,5,15,15,3,2,1,0,H,0,0,D,6.25,4.5,1.5,6,4.5,1.5,1.67,2.2,2.03,1.83,5.5,4.75,1.48,6.25,4.6,1.49,1.57,2.38,1.83,2.03
ligue-1,2025-2026,29/10/2025,Nice,Lille,2,0,8,21,4,4,2,13,11,10,3,3,0,0,H,1,0,H,3,3.5,2.3,2.95,3.5,2.3,1.73,2.1,1.85,2,3.9,3.9,1.85,3.8,3.75,1.9,1.57,2.38,2,1.85
ligue-1,2025-2026,29/10/2025,Marseille,Angers,2,2,11,12,6,6,1,5,11,7,2,1,0,0,D,0,1,A,1.22,6.5,12,1.23,6.5,12.5,1.57,2.38,1.88,1.98,1.25,6.5,10,1.24,6.25,12,1.57,2.38,1.93,1.93
ligue-1,2025-2026,29/10/2025,Nantes,Monaco,3,5,18,19,5,9,1,3,13,17,3,5,0,0,A,2,2,D,4.75,4,1.7,4.6,4.1,1.66,1.67,2.2,1.98,1.88,4.5,4,1.7,4.75,4,1.68,1.67,2.2,1.98,1.88
ligue-1,2025-2026,29/10/2025,Paris FC,Lyon,3,3,11,7,3,4,4,2,18,16,6,2,1,1,D,0,1,A,2.7,3.5,2.5,2.6,3.6,2.5,1.67,2.2,1.98,1.88,2.75,3.5,2.5,2.6,3.4,2.6,1.73,2.1,2.03,1.83
