kickoff_iso,league,home_team,away_team,team,venue,line,side,model_prob,model_fair,book_odds,bookmaker,edge,captured_at,lambda_venue,lambda_recent,divergence,consensus,effective_stake,preferred
2026-05-23T19:00:00Z,la-liga,Real Madrid,Athletic Bilbao,Real Madrid,home,15.5,over,0.3122,3.203,2.0,Bet365,-0.3756,2026-05-21T19:16:40Z,13.55,13.5,0.0039,aligned,0.0,False
2026-05-23T19:00:00Z,la-liga,Espanyol Barcelona,Real Sociedad San Sebastian,Real Sociedad San Sebastian,away,10.5,under,0.3239,3.087,1.909,Bet365,-0.3817,2026-05-21T19:16:40Z,13.7,11.02,0.196,divergent,0.0,False
2026-05-23T19:00:00Z,la-liga,Real Betis Seville,Levante UD,Real Betis Seville,home,16.5,over,0.3246,3.081,1.833,Bet365,-0.405,2026-05-21T19:16:40Z,15.2,15.58,0.0246,aligned,0.0,False
2026-05-23T19:00:00Z,la-liga,Getafe CF,CA Osasuna,Getafe CF,home,11.5,over,0.3276,3.053,1.8,Bet365,-0.4103,2026-05-21T19:16:40Z,8.43,7.88,0.0655,aligned,0.0,False
2026-05-23T19:00:00Z,la-liga,Girona FC,Elche CF,Girona FC,home,16.5,over,0.3061,3.267,1.909,Bet365,-0.4157,2026-05-21T19:16:40Z,14.78,16.69,0.1294,aligned,0.0,False
2026-05-24T18:45:00Z,serie-a,US Lecce,Genoa CFC,US Lecce,home,13.5,over,0.3134,3.191,1.833,Bet365,-0.4255,2026-05-21T19:16:39Z,10.41,10.5,0.0083,aligned,0.0,False
2026-05-24T15:00:00Z,epl,Fulham FC,Newcastle United,Fulham FC,home,11.5,under,0.3111,3.214,1.833,Bet365,-0.4298,2026-05-21T11:42:01Z,15.43,17.2,0.1147,aligned,0.0,False
2026-05-24T15:00:00Z,epl,West Ham United,Leeds United,Leeds United,away,9.5,under,0.2796,3.577,2.0,Bet365,-0.4408,2026-05-21T19:16:38Z,12.87,12.66,0.0167,aligned,0.0,False
2026-05-23T19:00:00Z,la-liga,RC Celta de Vigo,Sevilla FC,RC Celta de Vigo,home,14.5,over,0.2029,4.929,2.0,Bet365,-0.5942,2026-05-21T19:16:40Z,9.65,8.49,0.1204,aligned,0.0,False
2026-05-24T15:00:00Z,epl,West Ham United,Leeds United,West Ham United,home,16.5,over,0.169,5.917,1.909,Bet365,-0.6774,2026-05-21T19:16:38Z,11.6,11.63,0.0025,aligned,0.0,False
2026-05-23T19:00:00Z,la-liga,RC Celta de Vigo,Sevilla FC,RC Celta de Vigo,home,15.5,over,0.1373,7.283,2.0,Bet365,-0.7254,2026-05-21T11:45:11Z,9.65,8.49,0.1204,aligned,0.0,False
