date,league,home_team,away_team,team,venue,bookmaker,line,side,book_odds,model_prob,model_prob_raw,model_fair_odds,edge,ev,actual_shots,won,pnl,kickoff_iso,note,home_lambda,away_lambda,home_lambda_venue,away_lambda_venue,home_lambda_recent,away_lambda_recent,home_consensus,away_consensus,home_divergence,away_divergence
2026-04-25,epl,Fulham FC,Aston Villa,Aston Villa,away,Bet365,12.5,over,2.0,0.5575,0.5575,1.794,0.115,0.115,,,,2026-04-25T11:30:00Z,,14.84,13.36,14.86,11.5,16.51,11.84,aligned,aligned,0.1106,0.0298
2026-04-25,epl,Fulham FC,Aston Villa,Fulham FC,home,Bet365,13.5,over,1.833,0.5597,0.5597,1.787,0.0259,0.0259,,,,2026-04-25T11:30:00Z,,14.84,13.36,14.86,11.5,16.51,11.84,aligned,aligned,0.1106,0.0298
2026-04-25,epl,West Ham United,Everton FC,Everton FC,away,Bet365,11.5,over,1.727,0.6223,0.6223,1.607,0.0747,0.0747,,,,2026-04-25T14:00:00Z,,12.67,13.55,12.57,12.67,13.6,13.41,aligned,aligned,0.082,0.0586
2026-04-25,epl,Wolverhampton Wanderers,Tottenham Hotspur,Wolverhampton Wanderers,home,Bet365,10.5,over,1.833,0.5904,0.5904,1.694,0.0822,0.0822,,,,2026-04-25T14:00:00Z,,11.48,13.94,10.07,12.68,9.36,15.25,aligned,divergent,0.07,0.2023
2026-04-25,epl,Arsenal FC,Newcastle United,Arsenal FC,home,Bet365,16.5,under,1.8,0.6133,0.6133,1.631,0.1039,0.1039,,,,2026-04-25T16:30:00Z,,16.39,8.36,17.61,7.64,16.66,7.36,aligned,aligned,0.0541,0.0363
2026-04-25,epl,Liverpool FC,Crystal Palace,Crystal Palace,away,Bet365,8.5,over,1.727,0.7044,0.7044,1.42,0.2165,0.2165,,,,2026-04-25T14:00:00Z,,15.8,10.29,16.71,9.03,17.57,8.7,aligned,aligned,0.0514,0.0373
2026-04-25,epl,Liverpool FC,Crystal Palace,Liverpool FC,home,Bet365,18.5,under,1.727,0.6811,0.6811,1.468,0.1762,0.1762,,,,2026-04-25T14:00:00Z,,15.8,10.29,16.71,9.03,17.57,8.7,aligned,aligned,0.0514,0.0373
2026-04-25,serie-a,Bologna FC,AS Roma,AS Roma,away,Bet365,11.5,under,1.8,0.6788,0.6788,1.473,0.2218,0.2218,,,,2026-04-25T16:00:00Z,,12.1,8.68,12.58,7.94,11.93,6.74,aligned,divergent,0.0517,0.1506
2026-04-25,serie-a,Hellas Verona,US Lecce,Hellas Verona,home,Bet365,11.5,over,1.727,0.6137,0.6137,1.629,0.0599,0.0599,,,,2026-04-25T18:45:00Z,,13.37,9.38,12.12,9.11,11.76,9.73,aligned,aligned,0.0295,0.0679
2026-04-25,serie-a,Parma Calcio,Pisa SC,Parma Calcio,home,Bet365,13.5,under,1.909,0.5811,0.5811,1.721,0.1093,0.1093,,,,2026-04-25T13:00:00Z,,12.24,9.86,13.67,10.45,14.4,9.25,aligned,aligned,0.0539,0.1149
